Station_name,Available_bikes,Longitude,Latitude
Cégep Marie-Victorin,10,-73.60601127147675,45.617499783128075
Gare d'autocars de Montréal (Berri / Ontario),6,-73.56425732374191,45.516926210319546
Molson / William-Tremblay,6,-73.56501236557959,45.54154850456526
Ateliers municipaux de St-Laurent (Cavendish / Poirier),11,-73.71118605136871,45.506175841460966
Place Rodolphe-Rousseau (Gohier / Édouard-Laurin),7,-73.68249848484993,45.5129938566323
Centre des loisirs (Tassé / Grenet),5,-73.69144901633263,45.51473429416659
Parc Marlborough (Beauzèle / Robichaud),7,-73.72167885303497,45.52234149817879
Champdoré / de Lorimier,14,-73.64101678133011,45.566869345371856
Parc Villeray (Christophe-Colomb / Jarry),10,-73.62434014678001,45.54813638885782
Beurling / Godin,8,-73.58381867408752,45.44791581215845
Kirkfield / de Chambois,24,-73.63389015197754,45.51293324107222
Parc des Rapides (LaSalle / 6e avenue),4,-73.59309915918857,45.42947143740888
Métro Longueuil - Université de Sherbrooke,15,-73.52012693881989,45.52331869398737
St-Charles / Montarville,10,-73.51526074111462,45.53368199320325
Collège Édouard-Montpetit (de Gentilly / de Normandie),6,-73.49506705999374,45.53722603812578
Place Longueuil,7,-73.51716578006744,45.52841043752244
Place du Commerce,14,-73.54259,45.46714
Marché Maisonneuve,9,-73.53978216648102,45.55321884238814
Parc Kent (de Kent / Hudson),12,-73.62945914268494,45.5057209331225
Rachel / de Brébeuf,7,-73.57264,45.52689
Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),13,-73.50041270256041,45.65140583915357
Parc St-Laurent (Salk / Thomas-Chapais),11,-73.6287838,45.6062348
Notre-Dame / St-Gabriel,5,-73.55511903762817,45.50714391928411
Casino de Montréal,3,-73.52457672,45.5063732
La Ronde,4,-73.53533238172531,45.52156536710626
U. Concordia - Campus Loyola (Sherbrooke / West Broadway),7,-73.6394852399826,45.45750908083069
Parc Labelle (LaSalle / Henri-Duhamel),14,-73.56998920440674,45.47256100297732
des Ormeaux / de Grosbois,4,-73.53436946868896,45.605901731906485
Parc Reine-Élizabeth (Penniston / Crawford),11,-73.59173655509949,45.43914465255811
Parc de la Confédération (Fielding / West Hill),18,-73.64002168178558,45.471881993586074
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),8,-73.66225451231003,45.5534000891078
Centre ÉPIC (St-Zotique / 40e avenue),15,-73.57462137937546,45.57414703721992
Bélanger / des Galeries d'Anjou,4,-73.56279015541077,45.59722114932571
Cité des Arts du Cirque (Paul Boutet / des Regrattiers),4,-73.61544728279114,45.55984236120471
Rosemont / Viau,6,-73.56666326522826,45.56833021674857
Parc Stoney-Point (St-Joseph / 47e avenue),9,-73.70836973190308,45.43656827071224
Parc LaSalle (10e avenue / Victoria),4,-73.67273926734924,45.43805550384184
Elgar / de l'Île-des-Sœurs,12,-73.546804189682,45.45682318753668
St-Jacques / des Seigneurs,9,-73.57190027832984,45.489185716082275
O'Brien / Poirier,5,-73.69143962860107,45.52252484113786
Thimens / Alexis-Nihon,17,-73.69856357574463,45.50897852206792
Parc Van Horne (de la Peltrie / de Westbury),3,-73.63852232694626,45.490494421832885
Hôpital Sacré-Coeur (Forbes),4,-73.71360540390015,45.531943590076395
Atwater / Greene,20,-73.57782661914825,45.480495143306044
Atwater / Sherbrooke,15,-73.58763009309769,45.4912258547597
Mairie d'arrondissement Montréal-Nord (Hébert / de Charleroi),5,-73.63767206668854,45.59398503487043
Omer-Lavallée / du Midway,8,-73.56217458844185,45.5457759528664
Parc Noel-Nord (Toupin / Keller),12,-73.72661411762238,45.51758306374252
Parc du Bois-Franc (de l'Équateur / des Andes),6,-73.71306091547012,45.51317758246596
Parc Grovehill (St-Antoine / Ivan-Franko),6,-73.69487822055817,45.43982382100397
Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),5,-73.5579303,45.6027276
Aréna Chaumont (Chaumont / des Ormeaux),12,-73.54673445224762,45.610926628992026
Parc Chamberland (Dorais / de l'Église),11,-73.689113,45.502989
Parc Summerlea (53e avenue / St-Joseph),4,-73.71546685695648,45.43836713933041
Parc Kirkland (des Érables / Boyer),11,-73.65079946815968,45.44606092178209
William / Robert-Bourassa,16,-73.55933010578154,45.49716534003792
Quai de la navette fluviale,5,-73.53842496871948,45.51366626207095
St-Antoine / de la Montagne,7,-73.56858909130096,45.49537171535007
Lapierre / Serge,4,-73.62021625041962,45.43854405099729
Parc St-Louis (St-Joseph / 34e avenue),8,-73.69349151849747,45.432839840726125
Victoria / 18e avenue Lachine,4,-73.6801904439926,45.43579350588776
Métro Jolicoeur (de Sève / Drake),12,-73.58193710446358,45.45608545783109
Duchesneau / de Marseille,4,-73.52273898082785,45.60962627826218
Papineau / Émile-Journault,22,-73.63356828689575,45.55988367688166
LaSalle / Godin,6,-73.57219934463501,45.44693448484644
Parc Delorme (Malouin / Laferté),12,-73.5902694,45.5904902
Parc Luigi-Pirandello (de Bretagne / Jean-Rivard),12,-73.60258877277374,45.57940569041942
Parc Beaulac (rue Élizabeth),10,-73.67795147001743,45.5200557245067
Parc St-Laurent (Dutrisac),7,-73.68911147117615,45.52591381815231
CHSLD St-Michel (8e avenue / Jarry),3,-73.610512,45.5616903
Georges-Vanier / Notre-Dame,6,-73.5719633102417,45.485047979822774
Travaux publics LaSalle (Cordner / Léger),3,-73.62448364496231,45.44527192876118
Parc de Dieppe,5,-73.5439610481262,45.501863463435576
Terminus Newman (Airlie / Lafleur),11,-73.64959917962551,45.425059666150744
Newman / Senkus,13,-73.61375212669373,45.44404309237571
St-Urbain / René-Lévesque,11,-73.56313616037369,45.507837541505836
de Maisonneuve / Aylmer (est),0,-73.5704317688942,45.50538591756765
Smith / Peel,18,-73.55641052126883,45.49276061084002
de la Commune / King,21,-73.55284452438353,45.49750375338383
de la Commune / Place Jacques-Cartier,41,-73.55183601379395,45.50761009451047
de la Commune / St-Sulpice,32,-73.553469479084,45.50424245563397
Chabanel / du Parc,3,-73.6548838019371,45.53830765459552
Ottawa / William,4,-73.56406286358833,45.48972725318433
de la Commune / Berri,10,-73.54983,45.51086
Berlioz / de l'Île des Soeurs,10,-73.54395568370819,45.45998577640931
Parc Benny (Benny / de Monkland),10,-73.63153114914894,45.46693565237702
Cégep André-Laurendeau (Lapierre),6,-73.60577523708344,45.43605512104547
Métro Henri-Bourassa (Henri-Bourassa / Millen),7,-73.66716161370277,45.55675103297278
Dixie / 54e avenue,8,-73.71789157390594,45.44338026469991
LaSalle / 90e avenue,12,-73.64518761634827,45.41774583815495
Métro de la Concorde (Léo-Lacombe),10,-73.7091851234436,45.5604898518365
Calixa-Lavallée / Rachel,16,-73.5719096660614,45.527831544563064
Parc du Mail (Bois de Coulonges / du Mail),11,-73.54596734046936,45.59833498124187
Marché Jean-Talon (Casgrain / Shamrock),18,-73.61548215150833,45.53519006163501
HEC (Decelles / Jean-Brillant),15,-73.61925333738327,45.497722829899764
Fabrik8 (Waverly / Jean-Talon),16,-73.62082242965698,45.53330725719417
Parc Courbertin (Valéry / Perrier),7,-73.60809333622456,45.5839877335556
Parc Hébert (Colbert / Provencher),14,-73.59370462596415,45.57237805962001
Parc Garibaldi (Liénart / Bélanger),9,-73.570396900177,45.586476480180046
Parc Aimé-Léonard (Gouin / Ste-Gertrude),3,-73.63850623369217,45.60835820969716
Parc Charleroi (Alfred / Louis-Francoeur),3,-73.62360253930092,45.59953472156509
Parc Maurice-Bélanger (Hébert / Denommée),2,-73.63171823322773,45.5877138098252
Gare St-Michel / Montréal-Nord (Pie-IX / 56e),7,-73.62978704273701,45.583197821913785
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),4,-73.56598667800426,45.51401222645779
Parc Jeanne-Mance (du Mont-Royal / du Parc),2,-73.58910799026489,45.51689731423111
Léa-Roback / Sir-Georges-Etienne-Cartier,8,-73.5827162861824,45.472051276471305
Parc Eusèbe-Ménard (Gouin / St-Vital),9,-73.64874824881554,45.59253950875074
St-Hubert / de Maisonneuve (sud),8,-73.56008380651474,45.51586835126322
CHSLD Joseph-François-Perrault (St-Michel / Everett),0,-73.60145956277847,45.55969734528566
Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin),10,-73.68184804916382,45.50682415585665
Gare Montpellier (Muir / de la Côte-Vertu),9,-73.67169924080372,45.52374047147138
Gare du Ruisseau (Dutrisac / Henri-Bourassa),16,-73.69254536926746,45.52814371649508
Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault),8,-73.67612421512604,45.512843286755896
CHSLD Robert Cliche (de Bellechasse / 16e avenue),10,-73.579191,45.557568
Parc Ottawa (de Belleville / Fleury),12,-73.6412434,45.58116
Parc Nicolas-Tillemont (des Érables / Villeray),15,-73.61255215771962,45.55463653358596
Métro Viau (Viau / Pierre-de-Coubertin),19,-73.5481941328544,45.563084167155345
Parc Armand-Bombardier (Perras / Armand-Bombardier),7,-73.5961118,45.6391233
Collège de Rosemont (Beaubien / 15e avenue),2,-73.58380123972893,45.55774990838239
McTavish / Sherbrooke,32,-73.57589408755302,45.50277615861811
de Bleury / de Maisonneuve,5,-73.56844156980515,45.507096455662456
de Maisonneuve / Aylmer (ouest),1,-73.5706517100334,45.505173440423306
Préfontaine / Marcel-Pépin,5,-73.55942063033581,45.54365380040509
Métro Atwater (Atwater / Ste-Catherine),20,-73.5844581949641,45.48952522221574
Hochelaga / de l'Assomption,4,-73.53943817317486,45.566883091095185
Bassin olympique (Chemin du Chenal le Moyne),17,-73.52724552154541,45.5169025120042
Parc Wilfrid-Bastien (Lacordaire / des Galets),17,-73.5952181,45.5864002
de Chambly / de Rouen,8,-73.54892447590828,45.54710313981358
BAnQ (Berri),7,-73.56291957199574,45.51601387670667
Parc Ernest-Rouleau (Gouin),8,-73.61631497740746,45.63131269772338
Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré),14,-73.62983867526054,45.49624140543275
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),10,-73.62283945083618,45.50398168549117
Parc Honoré-Mercier (Notre-Dame / Liébert),13,-73.51035632193089,45.59275253568305
Keller / Cousineau,11,-73.7138856947422,45.52355020292929
Parc d'Antioche (Place d'Antioche / St-Zotique),9,-73.5596626996994,45.59566584124368
Gare Lachine (Sir George Simpson / 48e avenue),2,-73.71091783046722,45.447821314280105
de Gaspé / Marmier,12,-73.60166944563389,45.529668174024685
Grenet / Poirier,6,-73.69875401258469,45.51871924623225
IUSMM (Georges-Villeneuve),12,-73.52969169616699,45.58661042838809
Square Nelligan (des Appalaches / Alexis-Nihon),5,-73.70799824595451,45.51431824920811
Parc MacDonald (Clanranald / Isabella),8,-73.63497912883759,45.48274245886277
La Tour de Montréal (Pierre-de-Coubertin / Bennett),1,-73.55155438184738,45.55970526805903
St-Antoine / 19e avenue,3,-73.68146234754022,45.43993803436114
Messier / St-Joseph,10,-73.57605636119843,45.53946063965585
Square Viger (Berri / Viger),19,-73.55481594800949,45.5121682576952
Dorion / Ontario,15,-73.55821162462234,45.526991277453526
Larivière / de Lorimier,26,-73.55923354625702,45.5291345371163
Viger / Chenneville,9,-73.56089115142822,45.50531166520915
René-Lévesque / Papineau,4,-73.5499919950962,45.52097057660443
Logan / Fullum,7,-73.55117082595825,45.52836601591233
Joseph-Manseau / René-Lévesque,6,-73.57676714658737,45.491686521008035
Logan / d'Iberville,18,-73.54911457747221,45.53061161207863
du Havre / de Rouen,3,-73.55478646466509,45.53456256501449
Square Victoria (Viger / du Square-Victoria),14,-73.56295,45.50206
Métro Peel (de Maisonneuve / Stanley),7,-73.57507,45.50038
St-Antoine / St-François-Xavier,6,-73.55918794870377,45.50459069556304
Métro Place-d'Armes (Viger / St-Urbain),18,-73.55967122894072,45.50631445605528
Métro Laurier (Berri / Laurier),10,-73.58843871625139,45.52809995527671
St-Hubert / de Maisonneuve (nord),3,-73.56049686670303,45.51613214980722
