Station_name,Available_bikes,Empty_slots,Longitude,Latitude,Count_4SQUARE_POI
Cégep Marie-Victorin,10,1,-73.60601127147675,45.617499783128075,11
Gare d'autocars de Montréal (Berri / Ontario),1,13,-73.56425732374191,45.516926210319546,50
Molson / William-Tremblay,4,9,-73.56501236557959,45.54154850456526,20
Ateliers municipaux de St-Laurent (Cavendish / Poirier),9,8,-73.71118605136871,45.506175841460966,0
Place Rodolphe-Rousseau (Gohier / Édouard-Laurin),14,11,-73.68249848484993,45.5129938566323,22
Centre des loisirs (Tassé / Grenet),4,9,-73.69144901633263,45.51473429416659,15
Parc Marlborough (Beauzèle / Robichaud),10,5,-73.72167885303497,45.52234149817879,7
Champdoré / de Lorimier,9,5,-73.64101678133011,45.566869345371856,8
Parc Villeray (Christophe-Colomb / Jarry),13,1,-73.62434014678001,45.54813638885782,32
Beurling / Godin,2,16,-73.58381867408752,45.44791581215845,3
Kirkfield / de Chambois,19,7,-73.63389015197754,45.51293324107222,3
Parc des Rapides (LaSalle / 6e avenue),8,15,-73.59309915918857,45.42947143740888,3
Métro Longueuil - Université de Sherbrooke,16,19,-73.52012693881989,45.52331869398737,3
St-Charles / Montarville,8,5,-73.51526074111462,45.53368199320325,16
Collège Édouard-Montpetit (de Gentilly / de Normandie),9,7,-73.49506705999374,45.53722603812578,9
Place Longueuil,10,0,-73.51716578006744,45.52841043752244,4
Place du Commerce,9,22,-73.54259,45.46714,5
Marché Maisonneuve,6,14,-73.53978216648102,45.55321884238814,33
Parc Kent (de Kent / Hudson),10,15,-73.62945914268494,45.5057209331225,12
Rachel / de Brébeuf,26,2,-73.57264,45.52689,50
Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),7,6,-73.50041270256041,45.65140583915357,4
Parc St-Laurent (Salk / Thomas-Chapais),9,7,-73.6287838,45.6062348,7
Notre-Dame / St-Gabriel,1,13,-73.55511903762817,45.50714391928411,50
Casino de Montréal,5,26,-73.52457672,45.5063732,3
La Ronde,2,21,-73.53533238172531,45.52156536710626,0
U. Concordia - Campus Loyola (Sherbrooke / West Broadway),7,18,-73.6394852399826,45.45750908083069,5
Parc Labelle (LaSalle / Henri-Duhamel),19,0,-73.56998920440674,45.47256100297732,13
des Ormeaux / de Grosbois,6,8,-73.53436946868896,45.605901731906485,6
Parc Reine-Élizabeth (Penniston / Crawford),12,3,-73.59173655509949,45.43914465255811,3
Parc de la Confédération (Fielding / West Hill),22,0,-73.64002168178558,45.471881993586074,7
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),5,10,-73.66225451231003,45.5534000891078,25
Centre ÉPIC (St-Zotique / 40e avenue),7,16,-73.57462137937546,45.57414703721992,13
Bélanger / des Galeries d'Anjou,6,12,-73.56279015541077,45.59722114932571,13
Cité des Arts du Cirque (Paul Boutet / des Regrattiers),9,24,-73.61544728279114,45.55984236120471,8
Rosemont / Viau,4,18,-73.56666326522826,45.56833021674857,4
Parc Stoney-Point (St-Joseph / 47e avenue),14,5,-73.70836973190308,45.43656827071224,0
Parc LaSalle (10e avenue / Victoria),5,14,-73.67273926734924,45.43805550384184,16
Elgar / de l'Île-des-Sœurs,13,0,-73.546804189682,45.45682318753668,0
St-Jacques / des Seigneurs,7,16,-73.57190027832984,45.489185716082275,50
O'Brien / Poirier,7,12,-73.69143962860107,45.52252484113786,4
Thimens / Alexis-Nihon,20,3,-73.69856357574463,45.50897852206792,2
Parc Van Horne (de la Peltrie / de Westbury),10,4,-73.63852232694626,45.490494421832885,17
Hôpital Sacré-Coeur (Forbes),4,8,-73.71360540390015,45.531943590076395,7
Atwater / Greene,8,16,-73.57782661914825,45.48049514330605,40
Atwater / Sherbrooke,8,15,-73.58763009309769,45.4912258547597,41
Mairie d'arrondissement Montréal-Nord (Hébert / de Charleroi),8,12,-73.63767206668854,45.59398503487043,6
Omer-Lavallée / du Midway,15,2,-73.56217458844185,45.5457759528664,10
Parc Noel-Nord (Toupin / Keller),10,8,-73.72661411762238,45.51758306374252,1
Parc du Bois-Franc (de l'Équateur / des Andes),8,11,-73.71306091547012,45.51317758246596,1
Parc Grovehill (St-Antoine / Ivan-Franko),4,10,-73.69487822055817,45.43982382100397,10
Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),9,1,-73.5579303,45.6027276,9
Aréna Chaumont (Chaumont / des Ormeaux),8,7,-73.54673445224762,45.610926628992026,0
Parc Chamberland (Dorais / de l'Église),7,10,-73.689113,45.502989,1
Parc Summerlea (53e avenue / St-Joseph),10,4,-73.71546685695648,45.43836713933041,2
Parc Kirkland (des Érables / Boyer),10,4,-73.65079946815968,45.44606092178209,5
William / Robert-Bourassa,9,12,-73.55933010578154,45.49716534003792,50
Quai de la navette fluviale,2,16,-73.53842496871948,45.51366626207095,1
St-Antoine / de la Montagne,0,17,-73.56858909130096,45.49537171535007,50
Lapierre / Serge,5,9,-73.62021625041962,45.43854405099729,20
Parc St-Louis (St-Joseph / 34e avenue),13,14,-73.69349151849747,45.432839840726125,9
Victoria / 18e avenue Lachine,4,11,-73.6801904439926,45.43579350588776,20
Métro Jolicoeur (de Sève / Drake),18,0,-73.58193710446358,45.45608545783109,7
Duchesneau / de Marseille,7,12,-73.52273898082785,45.60962627826218,10
Papineau / Émile-Journault,10,21,-73.63356828689575,45.55988367688166,0
LaSalle / Godin,10,16,-73.57219934463501,45.44693448484644,1
Parc Delorme (Malouin / Laferté),13,6,-73.5902694,45.5904902,16
Parc Luigi-Pirandello (de Bretagne / Jean-Rivard),1,14,-73.60258877277374,45.57940569041942,14
Parc Beaulac (rue Élizabeth),3,12,-73.67795147001743,45.5200557245067,14
Parc St-Laurent (Dutrisac),5,14,-73.68911147117615,45.52591381815231,0
CHSLD St-Michel (8e avenue / Jarry),6,8,-73.610512,45.5616903,7
Georges-Vanier / Notre-Dame,15,3,-73.5719633102417,45.485047979822774,47
Travaux publics LaSalle (Cordner / Léger),3,12,-73.62448364496231,45.44527192876118,13
Parc de Dieppe,14,19,-73.5439610481262,45.501863463435576,50
Terminus Newman (Airlie / Lafleur),11,8,-73.64959917962551,45.425059666150744,5
Newman / Senkus,17,2,-73.61375212669373,45.44404309237571,12
St-Urbain / René-Lévesque,4,29,-73.56313616037369,45.50783754150584,50
de Maisonneuve / Aylmer (est),0,20,-73.5704317688942,45.50538591756765,50
Smith / Peel,12,7,-73.55641052126883,45.49276061084002,43
de la Commune / King,18,48,-73.55284452438353,45.49750375338383,50
de la Commune / Place Jacques-Cartier,0,78,-73.55183601379395,45.50761009451047,50
de la Commune / St-Sulpice,2,37,-73.553469479084,45.50424245563397,50
Chabanel / du Parc,17,12,-73.6548838019371,45.53830765459552,26
Ottawa / William,12,1,-73.56406286358833,45.48972725318433,47
de la Commune / Berri,8,43,-73.54983,45.51086,50
Berlioz / de l'Île des Soeurs,14,7,-73.54395568370819,45.45998577640931,3
Parc Benny (Benny / de Monkland),9,13,-73.63153114914894,45.46693565237702,14
Cégep André-Laurendeau (Lapierre),6,24,-73.60577523708344,45.43605512104547,4
Métro Henri-Bourassa (Henri-Bourassa / Millen),5,7,-73.66716161370277,45.55675103297278,20
Dixie / 54e avenue,10,9,-73.71789157390594,45.44338026469991,3
LaSalle / 90e avenue,10,4,-73.64518761634827,45.41774583815495,2
Métro de la Concorde (Léo-Lacombe),13,4,-73.7091851234436,45.5604898518365,4
Calixa-Lavallée / Rachel,30,0,-73.5719096660614,45.527831544563064,50
Parc du Mail (Bois de Coulonges / du Mail),11,4,-73.54596734046936,45.59833498124187,6
Marché Jean-Talon (Casgrain / Shamrock),8,17,-73.61548215150833,45.53519006163501,50
HEC (Decelles / Jean-Brillant),2,19,-73.61925333738327,45.49772282989976,20
Fabrik8 (Waverly / Jean-Talon),7,10,-73.62082242965698,45.53330725719417,50
Parc Courbertin (Valéry / Perrier),3,14,-73.60809333622456,45.5839877335556,9
Parc Hébert (Colbert / Provencher),13,1,-73.59370462596415,45.57237805962001,20
Parc Garibaldi (Liénart / Bélanger),10,3,-73.570396900177,45.586476480180046,24
Parc Aimé-Léonard (Gouin / Ste-Gertrude),12,5,-73.63850623369217,45.60835820969716,10
Parc Charleroi (Alfred / Louis-Francoeur),5,8,-73.62360253930092,45.59953472156509,11
Parc Maurice-Bélanger (Hébert / Denommée),6,9,-73.63171823322773,45.5877138098252,11
Gare St-Michel / Montréal-Nord (Pie-IX / 56e),6,9,-73.62978704273701,45.583197821913785,11
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),1,10,-73.56598667800426,45.51401222645779,50
Parc Jeanne-Mance (du Mont-Royal / du Parc),22,10,-73.58910799026489,45.51689731423111,50
Léa-Roback / Sir-Georges-Etienne-Cartier,6,26,-73.5827162861824,45.472051276471305,38
Parc Eusèbe-Ménard (Gouin / St-Vital),9,7,-73.64874824881554,45.59253950875074,6
St-Hubert / de Maisonneuve (sud),0,17,-73.56008380651474,45.51586835126322,50
CHSLD Joseph-François-Perrault (St-Michel / Everett),10,8,-73.60145956277847,45.55969734528566,22
Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin),13,14,-73.68184804916382,45.50682415585665,20
Gare Montpellier (Muir / de la Côte-Vertu),8,4,-73.67169924080372,45.52374047147138,2
Gare du Ruisseau (Dutrisac / Henri-Bourassa),15,4,-73.69254536926746,45.52814371649508,0
Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault),0,18,-73.67612421512604,45.512843286755896,20
CHSLD Robert Cliche (de Bellechasse / 16e avenue),12,0,-73.579191,45.557568,13
Parc Ottawa (de Belleville / Fleury),9,5,-73.6412434,45.58116,14
Parc Nicolas-Tillemont (des Érables / Villeray),16,2,-73.61255215771962,45.55463653358596,19
Métro Viau (Viau / Pierre-de-Coubertin),2,51,-73.5481941328544,45.563084167155345,10
Parc Armand-Bombardier (Perras / Armand-Bombardier),10,5,-73.5961118,45.6391233,1
Collège de Rosemont (Beaubien / 15e avenue),6,18,-73.58380123972893,45.55774990838239,11
McTavish / Sherbrooke,1,45,-73.57589408755302,45.50277615861811,50
de Bleury / de Maisonneuve,1,18,-73.56844156980515,45.507096455662456,50
de Maisonneuve / Aylmer (ouest),0,36,-73.5706517100334,45.505173440423306,50
Préfontaine / Marcel-Pépin,2,16,-73.55942063033581,45.54365380040509,9
Métro Atwater (Atwater / Ste-Catherine),34,1,-73.5844581949641,45.48952522221574,48
Hochelaga / de l'Assomption,5,14,-73.53943817317486,45.566883091095185,10
Bassin olympique (Chemin du Chenal le Moyne),0,17,-73.52724552154541,45.5169025120042,0
Parc Wilfrid-Bastien (Lacordaire / des Galets),9,9,-73.5952181,45.5864002,11
de Chambly / de Rouen,8,0,-73.54892447590828,45.54710313981358,29
BAnQ (Berri),1,14,-73.56291957199574,45.51601387670667,50
Parc Ernest-Rouleau (Gouin),10,9,-73.61631497740746,45.63131269772338,3
Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré),15,10,-73.62983867526054,45.49624140543275,29
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),4,31,-73.62283945083618,45.50398168549117,22
Parc Honoré-Mercier (Notre-Dame / Liébert),18,7,-73.51035632193089,45.59275253568305,3
Keller / Cousineau,8,7,-73.7138856947422,45.52355020292929,6
Parc d'Antioche (Place d'Antioche / St-Zotique),14,5,-73.5596626996994,45.59566584124368,12
Gare Lachine (Sir George Simpson / 48e avenue),2,13,-73.71091783046722,45.447821314280105,3
de Gaspé / Marmier,0,21,-73.60166944563389,45.529668174024685,50
Grenet / Poirier,6,9,-73.69875401258469,45.51871924623225,5
IUSMM (Georges-Villeneuve),11,16,-73.52969169616699,45.58661042838809,7
Square Nelligan (des Appalaches / Alexis-Nihon),7,7,-73.70799824595451,45.51431824920811,3
Parc MacDonald (Clanranald / Isabella),12,3,-73.63497912883759,45.48274245886277,22
La Tour de Montréal (Pierre-de-Coubertin / Bennett),2,18,-73.55155438184738,45.55970526805903,11
St-Antoine / 19e avenue,5,9,-73.68146234754022,45.43993803436114,16
Messier / St-Joseph,11,3,-73.57605636119843,45.53946063965585,48
Square Viger (Berri / Viger),2,22,-73.55481594800949,45.5121682576952,50
Dorion / Ontario,35,0,-73.55821162462234,45.526991277453526,50
Larivière / de Lorimier,35,1,-73.55923354625702,45.5291345371163,41
Viger / Chenneville,0,34,-73.56089115142822,45.50531166520915,50
René-Lévesque / Papineau,9,18,-73.5499919950962,45.52097057660443,50
Logan / Fullum,6,12,-73.55117082595825,45.52836601591233,41
Joseph-Manseau / René-Lévesque,12,4,-73.57676714658737,45.491686521008035,50
Logan / d'Iberville,18,1,-73.54911457747221,45.53061161207863,24
du Havre / de Rouen,6,20,-73.55478646466509,45.53456256501449,14
Square Victoria (Viger / du Square-Victoria),0,19,-73.56295,45.50206,50
Métro Peel (de Maisonneuve / Stanley),0,47,-73.57507,45.50038,50
St-Antoine / St-François-Xavier,2,16,-73.55918794870377,45.50459069556304,50
Métro Place-d'Armes (Viger / St-Urbain),0,29,-73.55967122894072,45.50631445605528,50
Métro Laurier (Berri / Laurier),10,12,-73.58843871625139,45.52809995527671,50
St-Hubert / de Maisonneuve (nord),0,21,-73.56049686670303,45.51613214980722,50
de Rouen / Lespérance,20,0,-73.5528177022934,45.538859462962286,20
Calixa-Lavallée / Sherbrooke,6,11,-73.56545,45.52479,50
St-Hubert / Duluth,0,23,-73.57418417930603,45.522425652788634,50
de Bullion / du Mont-Royal,1,18,-73.58498811721802,45.52141314643908,50
de Lanaudière / Laurier,19,4,-73.58373686671257,45.5333136054992,50
Laval / Duluth,1,20,-73.57718793155072,45.51922631024093,50
Vallières / St-Laurent,2,21,-73.5836161673069,45.518967223320054,50
Duluth / de l'Esplanade,2,21,-73.58105599880219,45.515132275425785,50
Hogan / Ontario,9,0,-73.55116009712219,45.535295480380306,13
la Fontaine / Alexandre-de-Sève,18,0,-73.55799973011017,45.52330366033427,50
Ste-Catherine / Union,0,34,-73.56948494911194,45.50373771539475,50
Chabot / Mont-Royal,20,2,-73.57352435588837,45.53413436610844,45
Gauthier / Papineau,21,1,-73.56733649969101,45.52966629503036,50
Messier / du Mont-Royal,20,0,-73.5710031,45.53711414,44
Laval / du Mont-Royal,0,14,-73.58414590358734,45.5223645775784,50
Jeanne-Mance / Sherbrooke,7,17,-73.57101917266846,45.50928678961862,50
Métro Laurier (Berri / St-Joseph),2,16,-73.58672618865965,45.52723106564012,50
Pontiac / Gilford,9,13,-73.58576595783234,45.527009334270645,50
Christophe-Colomb / St-Joseph,22,1,-73.58439266681671,45.53036486555959,50
Cartier / St-Joseph,17,2,-73.57869029045105,45.53582823686429,50
Métro Frontenac (Ontario / du Havre),3,18,-73.55217933654784,45.533705987798946,13
Roy / St-Denis,9,15,-73.5727,45.51908,50
Maguire / Henri-Julien,0,18,-73.59347056655677,45.527041096087785,50
Laurier / de Brébeuf,29,0,-73.58481109142303,45.532513956311426,50
Laurier / de Bordeaux,21,0,-73.5791677236557,45.53727946481992,50
Henri-Julien / du Carmel,6,17,-73.59502326697111,45.52795093787009,50
Cartier / Masson,18,0,-73.58352363109587,45.5380207402854,49
Parc Ludger-Duvernay (St-André / St-Hubert),12,7,-73.59242051839828,45.53147464147482,50
Boucher / St-Denis,13,10,-73.59183847904205,45.527930077456865,50
Drolet / Marie-Anne,9,10,-73.58117669820786,45.52240257341408,50
St-André / Rachel,3,12,-73.57596650719643,45.52435318759273,50
Parc Jeanne-Mance (monument à sir George-Étienne Cartier),28,14,-73.58475860237377,45.5148664330228,50
Roy / St-André,5,16,-73.57036739587784,45.521564270906616,50
Garnier / St-Joseph,13,6,-73.58128666877745,45.5330129192707,50
de l'Esplanade / Fairmount,17,1,-73.5968267172575,45.521495731487576,50
Jeanne-Mance / St-Viateur,22,0,-73.60184043645859,45.523026476635074,50
du Parc-La Fontaine / Duluth,14,8,-73.57197672128677,45.52451761488783,50
Casgrain / St-Viateur,16,7,-73.59879076480864,45.52751292628879,50
St-Dominique / Laurier,12,11,-73.59245739877223,45.52361490311454,50
de Bullion / St-Joseph,6,17,-73.59015061847458,45.52404631813311,50
de Gaspé / Fairmount,5,18,-73.59285570681095,45.52557815939422,50
de l'Hôtel-de-Ville / Villeneuve,6,15,-73.58732756238169,45.52348082760688,50
Henri-Julien / Laurier,16,6,-73.59033644199371,45.52574657625029,50
Marquette / Laurier,24,2,-73.5822,45.53543,50
Milton / du Parc,3,26,-73.57386365532875,45.50936142835129,50
Waverly / St-Viateur,19,0,-73.60012650489807,45.5238561444472,50
de Bordeaux / Gilford,17,0,-73.5762870311737,45.53611005443118,50
de Bordeaux / Masson,19,0,-73.5824453830719,45.53898439552301,50
Labadie / du Parc,9,10,-73.59682738780975,45.5198946757576,50
Fullum / Marie-Anne,21,0,-73.56803923845291,45.53650541861215,36
Parthenais / du Mont-Royal,23,0,-73.57141345739365,45.53640396516409,46
Clark / St-Viateur,10,2,-73.59935637563467,45.5251943015533,50
Duluth  / St-Denis,1,13,-73.57594907283782,45.52062760607925,50
Clark / Rachel,3,28,-73.58212888,45.5173538,50
Resther / du Mont-Royal,0,21,-73.58177483081818,45.52562819123256,50
de Mentana / Marie-Anne,20,6,-73.57785880565643,45.526026565221414,50
Hutchison / Prince-Arthur,0,17,-73.57610732316971,45.50975858607626,50
du Mont-Royal / Clark,7,28,-73.58685,45.51941,50
Bernard / Jeanne-Mance,22,1,-73.6049484461546,45.52428310031213,50
Jeanne-Mance / Laurier,16,7,-73.59497621666378,45.52027633320609,50
Milton / Durocher,0,27,-73.57492983341217,45.508140959417744,50
